Goa," 30-06-2020",9.96,489111,42.21
Goa," 30-09-2019",3.38,472858,37.85
Goa," 30-09-2020",15.38,425004,38.89
Goa," 30-11-2019",24.45,431101,44.66
Goa," 31-01-2020",8.4,833500,35.68
Goa," 31-03-2020",5,688854,34.97
Goa," 31-05-2019",2.83,444195,36.66
Goa," 31-05-2020",20.63,506782,35.53
Goa," 31-07-2019",11.63,447804,39.91
Goa," 31-07-2020",17.07,458876,42.94
Goa," 31-08-2019",3.44,426880,35.79
Goa," 31-08-2020",16.21,473016,43.76
Goa," 31-10-2019",9.76,467704,40.81
Goa," 31-10-2020",11.54,392304,34.3
Goa," 31-12-2019",9.88,465309,40.73
Gujarat," 29-02-2020",6.35,49515590,49.97
Gujarat," 30-04-2020",18.88,30577756,35.53
Gujarat," 30-06-2019",5.54,23344246,47.34
Gujarat," 30-06-2020",3.05,47475688,45.98
Gujarat," 30-09-2019",6.13,22890722,46.38
Gujarat," 30-09-2020",3.42,25010199,48.41
Gujarat," 30-11-2019",6.11,24383944,49.02
Gujarat," 31-01-2020",5.57,48252691,48.25
Gujarat," 31-03-2020",6.55,47133282,47.57
Gujarat," 31-05-2019",3.48,23641286,46.85
Gujarat," 31-05-2020",12.77,35030836,37.35
Gujarat," 31-07-2019",4.87,24155106,48.38
Gujarat," 31-07-2020",1.84,24276120,46.41
Gujarat," 31-08-2019",3.95,23735496,47.14
Gujarat," 31-08-2020",1.87,22817232,43.55
Gujarat," 31-10-2019",5.18,24302729,48.7
Gujarat," 31-10-2020",4.03,25970259,50.49
Gujarat," 31-12-2019",4.58,24050637,47.63
Haryana," 29-02-2020",25.42,14645884,43.97
Haryana," 30-04-2020",43.91,11295260,43.24
Haryana," 30-06-2019",21.75,7590368,44.14
Haryana," 30-06-2020",30.56,13613907,42.92
Haryana," 30-09-2019",21.6,7803818,44.21
Haryana," 30-09-2020",19.68,7132439,39.2
Haryana," 30-11-2019",21.82,7280002,40.83
Haryana," 31-01-2020",21.26,15386462,43.28
Haryana," 31-03-2020",25.37,13283110,39.25
Haryana," 31-05-2019",19.61,7942782,44.15
Haryana," 31-05-2020",33.9,12365144,40.48
Haryana," 31-07-2019",20.84,7232533,40.47
Haryana," 31-07-2020",24.18,6800652,39.77
Haryana," 31-08-2019",27.57,7081311,44.05
Haryana," 31-08-2020",33.5,7113788,47.32
Haryana," 31-10-2019",22.61,7620289,44.33
Haryana," 31-10-2020",27.31,6698551,40.6
Haryana," 31-12-2019",26.6,7152319,43.48
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52
Himachal Pradesh," 30-04-2020",2.34,2262256,20.63
Himachal Pradesh," 30-06-2019",16.43,2194657,45.38
Himachal Pradesh," 30-06-2020",8.47,4654660,41.19
Himachal Pradesh," 30-09-2019",13.99,2287014,45.45
Himachal Pradesh," 30-09-2020",12.04,2237480,41.54
Himachal Pradesh," 30-11-2019",25.06,2257438,50.34
Himachal Pradesh," 31-01-2020",17.22,4575263,46.51
Himachal Pradesh," 31-03-2020",20.97,4043716,43.32
Himachal Pradesh," 31-05-2019",12.28,2291428,44.75
Himachal Pradesh," 31-05-2020",34.2,3764557,42.96
Himachal Pradesh," 31-07-2019",21.05,2152718,47.06
Himachal Pradesh," 31-07-2020",24.31,2229456,48.25
Himachal Pradesh," 31-08-2019",21.52,2205563,48.04
Himachal Pradesh," 31-08-2020",15.79,2029740,39.42
Himachal Pradesh," 31-10-2019",19.79,2179279,46.25
Himachal Pradesh," 31-10-2020",13.46,2123965,40.01
Himachal Pradesh," 31-12-2019",22.39,2164187,48.3
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55
Jammu & Kashmir," 30-06-2019",15.98,3563557,42.09
Jammu & Kashmir," 30-06-2020",18.45,5251953,36.09
Jammu & Kashmir," 30-09-2020",16.17,3210281,36.31
Jammu & Kashmir," 30-11-2019",14.51,3642517,42.3
Jammu & Kashmir," 31-01-2020",20.6,6906050,42.05
Jammu & Kashmir," 31-03-2020",15.26,6718214,37.82
Jammu & Kashmir," 31-05-2019",17.91,3625325,43.66
Jammu & Kashmir," 31-05-2020",11.31,6900894,36.67
Jammu & Kashmir," 31-07-2019",17.61,3733086,44.75
Jammu & Kashmir," 31-07-2020",10.88,3558889,38.03
Jammu & Kashmir," 31-08-2019",11.32,2778624,44.17
Jammu & Kashmir," 31-08-2020",11.09,3429950,36.66
Jammu & Kashmir," 31-10-2019",21.66,3506708,42.86
Jammu & Kashmir," 31-10-2020",16.14,3106691,35.05
Jammu & Kashmir," 31-12-2019",7.02,1209085,40.71
Jharkhand," 29-02-2020",13.53,20850850,44.62
Jharkhand," 30-04-2020",50.1,10670525,38.18
Jharkhand," 30-06-2019",14.49,9646693,42.31
